"cell_ID" "FOV" "cell_types"
"cell_484" 4 "mural"
"cell_485" 4 "Lhx6 iNeuron"
"cell_486" 4 "OPC"
"cell_487" 4 "astrocytes"
"cell_488" 4 "Olig"
"cell_489" 4 "L6 eNeuron"
"cell_490" 4 "Olig"
"cell_491" 4 "astrocytes"
"cell_492" 4 "L6 eNeuron"
"cell_493" 4 "L6 eNeuron"
"cell_494" 4 "L5 eNeuron"
"cell_495" 4 "L6 eNeuron"
"cell_496" 4 "Adarb2 iNeuron"
"cell_497" 4 "L6 eNeuron"
"cell_498" 4 "L6 eNeuron"
"cell_499" 4 "L6 eNeuron"
"cell_500" 4 "L5 eNeuron"
"cell_501" 4 "L6 eNeuron"
"cell_502" 4 "L6 eNeuron"
"cell_503" 4 "L6 eNeuron"
"cell_504" 4 "L6 eNeuron"
"cell_505" 4 "astrocytes"
"cell_506" 4 "L5 eNeuron"
"cell_507" 4 "OPC"
"cell_508" 4 "L6 eNeuron"
"cell_509" 4 "Lhx6 iNeuron"
"cell_510" 4 "Olig"
"cell_511" 4 "L6 eNeuron"
"cell_512" 4 "astrocytes"
"cell_513" 4 "L6 eNeuron"
"cell_514" 4 "L6 eNeuron"
"cell_515" 4 "L6 eNeuron"
"cell_516" 4 "L5 eNeuron"
"cell_517" 4 "L5 eNeuron"
"cell_518" 4 "L6 eNeuron"
"cell_519" 4 "L6 eNeuron"
"cell_520" 4 "L6 eNeuron"
"cell_521" 4 "L6 eNeuron"
"cell_522" 4 "L6 eNeuron"
"cell_523" 4 "L6 eNeuron"
