"cell_ID"	"x_coord"	"y_coord"
"s846"	"21596"	"9414"
"s847"	"21896"	"9414"
"s848"	"20096"	"9714"
"s849"	"20396"	"9714"
"s850"	"20696"	"9714"
"s851"	"20996"	"9714"
"s852"	"21296"	"9714"
"s853"	"21596"	"9714"
"s854"	"21896"	"9714"
"s855"	"20096"	"8244"
"s856"	"20396"	"8244"
"s857"	"20696"	"8244"
"s858"	"20996"	"8244"
"s859"	"21296"	"8244"
"s860"	"21596"	"8244"
"s861"	"21896"	"8244"
"s862"	"20096"	"8544"
"s863"	"20396"	"8544"
"s864"	"20696"	"8544"
"s865"	"20996"	"8544"
"s866"	"21296"	"8544"
"s867"	"21596"	"8544"
"s868"	"21896"	"8544"
"s869"	"20096"	"8844"
"s870"	"20396"	"8844"
"s871"	"20696"	"8844"
"s872"	"20996"	"8844"
"s873"	"21296"	"8844"
"s874"	"21596"	"8844"
"s875"	"21896"	"8844"
"s876"	"20096"	"9144"
"s877"	"20396"	"9144"
"s878"	"20696"	"9144"
"s879"	"20996"	"9144"
"s880"	"21296"	"9144"
"s881"	"21596"	"9144"
"s882"	"21896"	"9144"
"s883"	"20096"	"9444"
"s884"	"20396"	"9444"
"s885"	"20696"	"9444"
"s886"	"20996"	"9444"
"s887"	"21296"	"9444"
"s888"	"21596"	"9444"
"s889"	"21896"	"9444"
"s890"	"20096"	"9744"
"s891"	"20396"	"9744"
"s892"	"20696"	"9744"
"s893"	"20996"	"9744"
"s894"	"21296"	"9744"
"s895"	"21596"	"9744"
"s896"	"21896"	"9744"
"s897"	"20096"	"8274"
"s898"	"20396"	"8274"
"s899"	"20696"	"8274"
"s900"	"20996"	"8274"
"s901"	"21296"	"8274"
"s902"	"21596"	"8274"
"s903"	"21896"	"8274"
"s904"	"20096"	"8574"
"s905"	"20396"	"8574"
"s906"	"20696"	"8574"
"s907"	"20996"	"8574"
"s908"	"21296"	"8574"
"s909"	"21596"	"8574"
"s910"	"21896"	"8574"
"s911"	"20096"	"8874"
"s912"	"20396"	"8874"
"s913"	"20696"	"8874"
"s914"	"20996"	"8874"
"s915"	"21296"	"8874"
"s916"	"21596"	"8874"
